Area,Rooms,Floor,BuildingAge,MetroMinutes,District,Renovation,PriceMillion
53.2,2,1,47,13.6,Север,Хороший,16.89
91.6,4,25,46,21.9,Восток,Обычный,17.77
143.6,5,19,52,27.7,Запад,Обычный,31.43
86.0,3,1,4,13.9,Север,Без ремонта,18.17
97.2,3,23,9,20.0,Восток,Хороший,25.3
92.0,3,25,20,6.1,Север,Обычный,25.02
41.5,2,6,29,18.1,Запад,Обычный,11.87
111.8,3,11,7,15.6,Юг,Без ремонта,26.5
134.7,4,13,46,11.1,Север,Хороший,31.82
136.4,5,16,27,9.5,Центр,Обычный,29.05
96.6,3,18,58,5.9,Север,Обычный,22.12
69.2,3,18,56,4.9,Центр,Обычный,18.85
107.0,4,8,40,2.7,Юг,Обычный,21.28
138.5,5,8,51,5.7,Юг,Обычный,28.44
142.4,6,15,39,34.1,Восток,Обычный,26.82
61.1,2,6,6,7.7,Юг,Обычный,15.57
137.5,5,1,58,14.8,Восток,Без ремонта,26.97
113.4,5,11,41,34.7,Юг,Без ремонта,22.47
130.0,5,9,7,15.3,Восток,Обычный,30.12
47.6,1,20,35,30.6,Восток,Хороший,13.51
142.2,5,8,37,10.7,Юг,Без ремонта,24.65
116.2,4,25,23,33.6,Восток,Обычный,23.3
47.5,1,17,43,16.6,Север,Хороший,8.73
91.2,3,19,49,23.9,Запад,Без ремонта,19.01
41.0,1,16,23,12.6,Запад,Хороший,13.42
112.8,4,24,29,8.8,Север,Обычный,26.2
97.6,2,18,35,8.5,Восток,Хороший,23.3
95.7,3,24,38,9.8,Центр,Обычный,25.25
127.1,5,22,27,20.1,Восток,Обычный,22.62
118.1,3,19,33,20.6,Запад,Без ремонта,24.17
38.7,2,24,4,25.0,Восток,Хороший,16.48
117.2,3,1,26,15.2,Юг,Обычный,24.77
91.4,4,3,23,6.5,Север,Обычный,20.44
50.1,1,18,16,22.5,Запад,Хороший,17.6
68.6,1,16,0,5.7,Юг,Обычный,16.86
87.6,4,3,46,33.2,Юг,Хороший,19.96
128.5,5,9,43,27.1,Юг,Обычный,30.05
131.2,5,17,46,20.9,Восток,Хороший,30.68
39.9,2,8,54,5.6,Центр,Обычный,11.67
79.7,3,23,55,17.5,Север,Хороший,17.75
126.7,4,21,10,7.1,Юг,Без ремонта,28.62
98.5,4,7,44,34.3,Север,Обычный,16.03
128.1,4,14,54,15.8,Юг,Хороший,26.88
97.9,3,12,36,23.7,Восток,Обычный,18.56
54.1,2,12,15,5.8,Север,Без ремонта,14.7
86.8,2,17,23,16.1,Север,Обычный,18.75
88.3,3,5,1,7.4,Восток,Обычный,21.18
132.6,5,11,50,21.0,Юг,Без ремонта,20.43
69.6,3,19,19,34.4,Юг,Без ремонта,11.16
55.5,2,7,4,16.4,Запад,Обычный,14.15
115.6,4,22,26,25.4,Восток,Обычный,24.17
77.1,3,2,38,4.9,Север,Хороший,20.32
84.7,3,17,51,10.3,Север,Обычный,20.15
142.3,6,17,8,6.1,Восток,Обычный,32.83
106.9,3,19,35,7.9,Юг,Хороший,28.18
106.6,5,16,27,7.4,Север,Обычный,23.59
137.3,4,3,5,23.3,Центр,Хороший,34.24
111.8,4,8,42,17.3,Север,Без ремонта,20.92
139.7,5,8,12,21.1,Запад,Обычный,34.08
102.1,4,7,16,22.2,Запад,Обычный,25.74
96.7,3,12,44,13.1,Запад,Обычный,18.22
61.3,2,10,42,30.1,Восток,Обычный,9.12
55.0,3,20,30,19.2,Запад,Без ремонта,14.04
90.2,5,5,36,30.9,Запад,Без ремонта,20.15
34.9,1,3,37,28.1,Запад,Без ремонта,7.14
47.7,2,11,55,25.2,Север,Обычный,6.56
110.9,4,6,8,18.7,Центр,Хороший,28.69
107.4,5,25,1,29.5,Запад,Обычный,23.11
31.3,1,24,35,24.5,Запад,Обычный,7.33
47.1,2,15,19,26.6,Север,Хороший,13.04
100.3,3,4,19,4.1,Восток,Обычный,18.84
75.7,1,21,42,15.1,Север,Обычный,14.66
96.9,5,19,2,23.7,Восток,Обычный,20.92
43.1,2,16,30,4.3,Центр,Без ремонта,8.23
128.9,5,11,22,18.7,Центр,Обычный,34.88
58.3,1,18,50,19.8,Запад,Без ремонта,14.71
71.8,1,22,36,10.6,Восток,Хороший,16.18
80.6,3,5,57,11.6,Восток,Хороший,18.17
97.4,4,2,35,26.0,Юг,Обычный,18.26
142.7,6,10,0,4.7,Запад,Обычный,31.59
52.5,2,19,18,2.3,Север,Обычный,15.53
47.0,3,12,30,32.7,Центр,Обычный,11.01
45.0,2,24,27,25.5,Север,Хороший,15.26
118.6,4,11,3,20.4,Центр,Хороший,33.02
72.7,3,18,20,27.5,Восток,Хороший,18.18
136.5,4,18,12,10.8,Запад,Обычный,35.07
35.8,2,10,28,24.6,Юг,Обычный,9.65
90.2,3,19,22,21.7,Север,Без ремонта,17.25
116.6,4,25,48,11.9,Центр,Хороший,30.25
87.3,4,21,38,11.6,Запад,Обычный,23.24
75.6,3,21,38,18.0,Север,Хороший,17.62
122.9,5,15,42,4.9,Восток,Обычный,24.65
87.6,4,17,27,25.7,Север,Хороший,23.6
134.1,5,18,20,32.2,Восток,Обычный,29.38
55.9,3,7,10,31.9,Восток,Обычный,10.73
98.0,3,23,22,21.4,Юг,Обычный,24.9
102.2,4,19,13,9.0,Север,Без ремонта,21.26
134.1,5,12,25,2.3,Восток,Обычный,32.31
38.9,1,23,46,20.0,Восток,Обычный,9.66
122.3,4,15,55,10.2,Центр,Обычный,27.2
108.0,3,16,17,11.5,Север,Хороший,26.35
128.7,5,8,21,23.9,Восток,Обычный,21.48
99.2,3,10,42,6.1,Север,Без ремонта,22.5
81.1,3,23,54,21.9,Восток,Обычный,17.01
121.2,5,25,8,26.6,Юг,Обычный,28.04
61.2,2,11,29,3.1,Восток,Обычный,12.96
34.5,1,2,8,20.5,Запад,Хороший,11.3
115.7,4,7,19,25.8,Север,Хороший,23.81
123.0,5,9,51,16.3,Запад,Хороший,27.23
125.0,5,17,25,11.9,Запад,Хороший,32.56
80.4,2,25,39,7.2,Юг,Обычный,18.7
113.7,4,4,29,33.5,Центр,Хороший,31.62
111.5,3,16,8,15.4,Запад,Хороший,30.09
61.8,3,14,32,8.4,Восток,Обычный,15.34
117.6,3,3,55,3.7,Север,Хороший,21.6
140.8,5,22,51,9.7,Центр,Без ремонта,34.84
69.2,2,15,51,29.3,Юг,Обычный,13.37
60.0,2,7,11,8.1,Центр,Хороший,27.88
96.3,4,25,33,24.1,Юг,Хороший,26.84
130.7,5,1,0,32.2,Центр,Хороший,34.69
99.2,3,24,22,14.7,Восток,Хороший,24.93
141.5,5,5,35,19.5,Восток,Без ремонта,26.89
135.9,5,8,13,7.1,Север,Обычный,28.13
111.2,3,12,60,9.5,Восток,Обычный,21.57
110.7,3,7,20,14.8,Север,Без ремонта,22.22
48.8,2,8,38,24.5,Центр,Хороший,13.73
67.9,3,7,42,18.0,Север,Хороший,16.88
122.8,5,4,18,30.0,Север,Обычный,28.45
74.9,2,6,12,26.7,Юг,Без ремонта,11.19
54.7,3,4,0,20.7,Юг,Хороший,14.78
35.4,4,5,45,16.3,Юг,Обычный,7.89
54.1,2,8,13,20.4,Юг,Обычный,12.3
95.5,4,8,59,16.3,Запад,Без ремонта,16.71
136.1,4,25,29,17.4,Запад,Хороший,30.96
73.8,2,20,44,12.1,Центр,Без ремонта,12.42
120.4,5,18,10,7.6,Восток,Обычный,27.21
43.1,3,14,4,33.8,Центр,Обычный,15.26
